year,month,consumer_sentiment,year_month,unemployment_rate,cpi,gas_price,cpi_yoy_pct,gas_price_z,cpi_yoy_pct_z,unemployment_rate_z,consumer_sentiment_z,economic_pressure_index
2022,7,51.5,2022-07-01,3.5,294.913,4.5592500000000005,8.462576727730099,2.70472423332541,2.2915663828947648,-0.5800305031584968,-1.6271523003452684,6.043412413406946
2022,8,58.2,2022-08-01,3.6,295.097,3.975,8.222579178218826,1.7039165982471167,2.181126490826875,-0.52466857247174,-1.2143002862458903,4.574674802848142
2022,9,58.6,2022-09-01,3.5,296.349,3.70025,8.192106896425821,1.2332757805530457,2.1671040330178895,-0.5800305031584968,-1.1896524048071215,4.01000171521956
2022,10,59.9,2022-10-01,3.6,298.007,3.8152,7.758813957693,1.4301826485928397,1.9677152247368117,-0.52466857247174,-1.1095467901311231,3.982776090989035
2022,11,56.7,2022-11-01,3.6,298.786,3.685,7.122856456533988,1.2071528598257133,1.6750660792318186,-0.52466857247174,-1.3067298416412734,3.6642802082270656
2022,12,59.8,2022-12-01,3.5,298.832,3.21,6.404600402357152,0.39348811585962173,1.3445455332431926,-0.5800305031584968,-1.1157087604908154,2.2737119064351328
2023,1,64.9,2023-01-01,3.5,300.42,3.3391999999999995,6.327178517960097,0.6148049262183979,1.3089182338231964,-0.5800305031584968,-0.8014482721465124,2.14514092902961
2023,2,66.9,2023-02-01,3.6,301.45,3.38875,5.957820738137087,0.6996830063521245,1.1389505261480286,-0.52466857247174,-0.6782088649526682,1.9921738249810814
2023,3,62.0,2023-03-01,3.5,301.821,3.4219999999999997,4.917719362889961,0.7566395384297505,0.6603261241244528,-0.5800305031584968,-0.9801454125775867,1.8170805719732932
2023,4,63.7,2023-04-01,3.4,302.845,3.6029999999999998,4.950079879124369,1.0666886303410401,0.6752174925049513,-0.6353924338452536,-0.875391916462819,1.9819056054635569
2023,5,59.0,2023-05-01,3.6,303.334,3.5548,4.131851231385042,0.984123071058587,0.2986924666152918,-0.52466857247174,-1.1650045233683528,1.9231514885704915
2023,6,64.2,2023-06-01,3.6,304.014,3.571,3.070617072997095,1.0118733212738515,-0.18965662757251264,-0.52466857247174,-0.8445820646643579,1.1421301858939568
2023,7,71.5,2023-07-01,3.5,304.609,3.597,3.287749268428297,1.0564107598909427,-0.08973870642407361,-0.5800305031584968,-0.39475822840682706,0.7813997787151994
2023,8,69.4,2023-08-01,3.7,306.082,3.83975,3.722504803505289,1.472236268517824,0.11032314615565621,-0.4693066417849833,-0.524159605960363,1.63741237884886
2023,9,67.8,2023-09-01,3.7,307.276,3.8360000000000003,3.687206638119256,1.4658125994865134,0.09407995707574064,-0.4693066417849833,-0.6227511317154388,1.7133370464927096
2023,10,63.8,2023-10-01,3.9,307.696,3.6128,3.2512659098611785,1.0834758187428675,-0.10652728693513196,-0.3585827804114701,-0.8692299461031271,1.4875956974993927
2023,11,61.3,2023-11-01,3.7,308.148,3.318,3.1333462745911866,0.5784897839613858,-0.16079047344858902,-0.4693066417849833,-1.0232792050954322,0.9716718738232457
2023,12,69.7,2023-12-01,3.8,308.741,3.134,3.3159099427102934,0.26330175682504703,-0.07677998315962385,-0.41394471109822684,-0.5056736948812866,0.2782507574484829
2024,1,79.0,2024-01-01,3.7,309.698,3.0753999999999997,3.0883429864855705,0.1629212220957562,-0.18149967773507256,-0.4693066417849833,0.06738954857008841,-0.555274645994388
2024,2,76.9,2024-02-01,3.9,310.967,3.2115,3.157074141648697,0.39605758347214637,-0.14987159914270953,-0.3585827804114701,-0.06201182898344757,-0.05038496709858572
2024,3,79.4,2024-03-01,3.9,312.345,3.4255,3.4868349120836584,0.7626349628589749,0.0018747164726953284,-0.3585827804114701,0.09203743000885758,0.3138894689113425
2024,4,77.2,2024-04-01,3.9,313.023,3.6114000000000006,3.3607951262196734,1.0810776489711789,-0.05612512717331089,-0.3585827804114701,-0.04352591790437113,0.7098956592907689
2024,5,69.1,2024-05-01,3.9,313.175,3.6029999999999998,3.244278584003113,1.0666886303410401,-0.10974265107188821,-0.3585827804114701,-0.5426455170394404,1.1410087158971223
2024,6,68.2,2024-06-01,4.1,313.044,3.4545,2.9702579486470926,0.812311336701115,-0.23583897769989007,-0.2478589190379569,-0.5981032502766697,0.9267166902399377
