course,model_name,rmse_mean,mae_mean,mape_mean
aiare 1,hgb_max_iter=200_learning_rate=0.2_max_depth=3_min_samples_leaf=5,104.85299566090795,86.01989591103822,36.45492430659779
aiare 1,hgb_max_iter=400_learning_rate=0.2_max_depth=3_min_samples_leaf=5,104.96416748589169,86.2239603205796,33.90390721713039
aiare 1,random_forest_n_estimators=100_max_depth=5_min_samples_leaf=1,105.67130262699781,89.53209544688114,116.64968383270055
aiare 1,hgb_max_iter=100_learning_rate=0.2_max_depth=3_min_samples_leaf=5,106.66351122913859,86.64103871164893,73.15919569507449
aiare 1,random_forest_n_estimators=100_max_depth=None_min_samples_leaf=1,106.96832094157234,92.59285714285714,122.96163815571654
aiare 1,random_forest_n_estimators=100_max_depth=10_min_samples_leaf=1,106.96832094157234,92.59285714285714,122.96163815571654
aiare 1,random_forest_n_estimators=100_max_depth=20_min_samples_leaf=1,106.96832094157234,92.59285714285714,122.96163815571654
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=3_subsample=1.0,106.98743372673304,84.39567329294594,23.482486618338577
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=3_subsample=1.0,106.9874847394842,84.39576756320187,23.482420552631186
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=3_subsample=1.0,107.00240726246356,84.40271964833826,23.49559470113918
aiare 1,hgb_max_iter=200_learning_rate=0.05_max_depth=3_min_samples_leaf=5,107.19320697824357,86.27298356671453,121.1991309149215
aiare 1,hgb_max_iter=400_learning_rate=0.1_max_depth=4_min_samples_leaf=5,107.73904704413057,87.96952996227726,54.14684704165158
aiare 1,gbr_n_estimators=300_learning_rate=0.01_max_depth=5_subsample=0.8,109.2165959116397,100.18160479540094,251.04685890526613
aiare 1,hgb_max_iter=100_learning_rate=0.1_max_depth=4_min_samples_leaf=5,109.44596889977257,90.53985042705644,122.11520027889051
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=5_subsample=0.8,109.85109704864276,88.66954487586801,31.460734627472895
aiare 1,hgb_max_iter=200_learning_rate=0.1_max_depth=4_min_samples_leaf=5,109.8554430883826,88.92455651470006,97.87459924009515
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=5_subsample=0.8,109.863839554837,88.69370294235357,31.5312977369668
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=5_subsample=0.8,109.86384936099871,88.69372894981983,31.53115958014103
aiare 1,hgb_max_iter=400_learning_rate=0.05_max_depth=3_min_samples_leaf=5,110.03793607194244,88.63187110750768,101.61314530563668
aiare 1,elasticnet_alpha=0.05_l1_ratio=0.7,110.5413919189091,100.06812965251628,269.55981062843927
aiare 1,hgb_max_iter=100_learning_rate=0.05_max_depth=3_min_samples_leaf=5,110.55623737912588,85.02190614019368,139.19784034579595
aiare 1,hgb_max_iter=200_learning_rate=0.05_max_depth=4_min_samples_leaf=5,110.7505330844729,90.28243184058874,128.1982939166487
aiare 1,hgb_max_iter=200_learning_rate=0.05_max_depth=6_min_samples_leaf=5,111.06326786928182,90.55709872453649,128.36495609920254
aiare 1,hgb_max_iter=100_learning_rate=0.1_max_depth=6_min_samples_leaf=5,111.06689981937357,92.46538371165914,122.73087015105484
aiare 1,gbr_n_estimators=300_learning_rate=0.01_max_depth=6_subsample=0.8,111.21090610860871,102.34802105601102,254.89968090696524
aiare 1,hgb_max_iter=100_learning_rate=0.05_max_depth=6_min_samples_leaf=5,111.36832994959147,86.71757434721692,139.36196976318317
aiare 1,hgb_max_iter=100_learning_rate=0.05_max_depth=4_min_samples_leaf=5,111.63119151952185,86.75183055440714,141.61851661514737
aiare 1,random_forest_n_estimators=200_max_depth=5_min_samples_leaf=1,111.9434062025664,97.17196353382066,159.894059380106
aiare 1,hgb_max_iter=200_learning_rate=0.2_max_depth=4_min_samples_leaf=5,112.54543084455642,91.26590796226988,43.531795723188324
aiare 1,hgb_max_iter=400_learning_rate=0.2_max_depth=4_min_samples_leaf=5,112.78067680179905,91.60240785800657,41.016221024364825
aiare 1,hgb_max_iter=400_learning_rate=0.1_max_depth=6_min_samples_leaf=5,112.85967371521363,92.03751700331297,54.99430149237255
aiare 1,hgb_max_iter=100_learning_rate=0.2_max_depth=4_min_samples_leaf=5,112.98303238228732,90.92167484718985,77.20859005493392
aiare 1,hgb_max_iter=200_learning_rate=0.2_max_depth=6_min_samples_leaf=5,113.19446853577509,90.2481186698923,36.308231300539404
aiare 1,hgb_max_iter=400_learning_rate=0.2_max_depth=6_min_samples_leaf=5,113.41272815370803,90.58165047137479,33.94476067257826
aiare 1,random_forest_n_estimators=200_max_depth=None_min_samples_leaf=1,113.71743599824345,99.06619047619049,166.08660597855422
aiare 1,random_forest_n_estimators=200_max_depth=10_min_samples_leaf=1,113.71743599824345,99.06619047619049,166.08660597855422
aiare 1,random_forest_n_estimators=200_max_depth=20_min_samples_leaf=1,113.71743599824345,99.06619047619049,166.08660597855422
aiare 1,hgb_max_iter=100_learning_rate=0.2_max_depth=6_min_samples_leaf=5,113.84872045890974,90.17669843601314,70.64087466051053
aiare 1,hgb_max_iter=400_learning_rate=0.05_max_depth=4_min_samples_leaf=5,114.36783696468538,93.29515623221633,106.88045613058715
aiare 1,hgb_max_iter=200_learning_rate=0.1_max_depth=6_min_samples_leaf=5,114.95818322494122,93.34192934554814,98.49333380743572
aiare 1,random_forest_n_estimators=300_max_depth=5_min_samples_leaf=1,115.10091514448459,99.36519156416774,169.22338443116107
